Cluster,Genre,Probability
0,0,0.22711850900550834
0,1,0.0
0,2,0.0389180053794605
0,3,0.014437324576251478
0,4,0.0
0,5,0.5869600811328469
0,6,0.0
0,7,0.060685703303565534
0,8,0.027124670415987626
0,9,0.044755706186379585
1,0,0.09426527604047352
1,1,0.0
1,2,0.16781040686432122
1,3,0.08064495725774383
1,4,0.21792708022117285
1,5,0.0
1,6,0.015948922966443756
1,7,0.16503080459345615
1,8,0.17942538337249223
1,9,0.07894716868389658
2,0,0.036607783949423274
2,1,0.8049957824365488
2,2,0.023697792508322314
2,3,0.0
2,4,0.0
2,5,0.09381994902884983
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.040878692076855995
3,0,0.08894086791415158
3,1,0.003985978695818165
3,2,0.07509814934150165
3,3,0.17551164257392884
3,4,0.044530855742343556
3,5,0.05946296087204147
3,6,0.24338627491132125
3,7,0.07904398430690258
3,8,0.07458611650508232
3,9,0.1554531691369084
