Cluster,Genre,Probability
0,0,0.07610070949017392
0,1,0.013488750094819186
0,2,0.026977500189638372
0,3,0.11950189537128875
0,4,0.05975094768564437
0,5,0.07662052307958768
0,6,0.39221134891089643
0,7,0.05761296650668534
0,8,0.019916982561881458
0,9,0.1578183761093845
1,0,0.10666278620780467
1,1,0.00453740106407804
1,2,0.18603344362719965
1,3,0.1518611418633619
1,4,0.11612910848374733
1,5,0.018744673248322394
1,6,0.017591154894579478
1,7,0.11143549392964543
1,8,0.1563276460358137
1,9,0.13067715064544755
2,0,0.1672441204080607
2,1,0.0
2,2,0.10798812536552219
2,3,0.06878287764550264
2,4,0.1813366774290524
2,5,0.06560512919988329
2,6,0.006156789047989048
2,7,0.1831383860884878
2,8,0.16257771079846078
2,9,0.05717018401704115
3,0,0.018097786307762598
3,1,0.5774055631524256
3,2,0.009623426052540428
3,3,0.009473060020469484
3,4,0.0
3,5,0.35780213585510967
3,6,0.0
3,7,0.010275861717119441
3,8,0.0
3,9,0.01732216689457277
