Group,Accuracy,KL Divergence,Samples
0,0.13333333333333333,0.2049796486991398,60
1,0.15,0.8872168480195318,20
2,0.95,1.3175650718840661,20
3,0.83,0.27493492261838204,100
Average,0.5158333333333334,0.67117412280528,
