Cluster,Genre,Probability
0,0,0.04659186155263176
0,1,0.5364720058774457
0,2,0.01699232597801864
0,3,0.009027173175822403
0,4,0.0
0,5,0.37330833071708647
0,6,0.0
0,7,0.008137170186656814
0,8,0.0
0,9,0.009471132512338259
1,0,0.10164898162617383
1,1,0.015346355992263257
1,2,0.05476542726650809
1,3,0.1521846969232773
1,4,0.04620408255735174
1,5,0.044071586439320125
1,6,0.2691037778037274
1,7,0.08472917674601685
1,8,0.05818826647066485
1,9,0.17375764817469655
2,0,0.2630199369668526
2,1,0.009706688149967179
2,2,0.38369967275164385
2,3,0.04246676065610641
2,4,0.02630199369668526
2,5,0.10871490727963243
2,6,0.0
2,7,0.06890381447300646
2,8,0.016986704262442566
2,9,0.08019952176366325
3,0,0.02744323936162631
3,1,0.0
3,2,0.025021777065012227
3,3,0.12761106303156233
3,4,0.2689437457439378
3,5,0.0
3,6,0.020624010186919166
3,7,0.19171615103333312
3,8,0.2605392536894398
3,9,0.07810075988816931
