Cluster,Genre,Probability
0,0,0.1043420710221624
0,1,0.0
0,2,0.21022995050391238
0,3,0.18264321491742616
0,4,0.06644669199421287
0,5,0.033223345997106433
0,6,0.0
0,7,0.09422070610819602
0,8,0.19111813682173853
0,9,0.11777588263524504
1,0,0.15599908522045708
1,1,0.0
1,2,0.103282152973544
1,3,0.05296520665309949
1,4,0.22609028511621573
1,5,0.030830493424938505
1,6,0.017505449656532883
1,7,0.1912632462473037
1,8,0.15648811056597575
1,9,0.0655759701419327
2,0,0.017996919536619912
2,1,0.5493213593946754
2,2,0.009598357086197285
2,3,0.008860021925720572
2,4,0.0
2,5,0.38679946466765186
2,6,0.0
2,7,0.009141292463045033
2,8,0.0
2,9,0.018282584926090067
3,0,0.08799623936134372
3,1,0.01732849021269538
3,2,0.0438025724820911
3,3,0.12707559489309947
3,4,0.061641146776503467
3,5,0.056037406160457694
3,6,0.35635991171870723
3,7,0.06555487038136082
3,8,0.011377291553789895
3,9,0.17282647645995125
