Cluster,Genre,Probability
0,0,0.07621991560508003
0,1,0.0
0,2,0.12195186496812806
0,3,0.09849958324348804
0,4,0.24680734576883057
0,5,0.0
0,6,0.009527489450635003
0,7,0.18830802678902125
0,8,0.2032531082802134
0,9,0.05543266589460366
1,0,0.0147594570012168
1,1,0.8730946395085994
1,2,0.0147594570012168
1,3,0.0
1,4,0.0
1,5,0.057133381940194065
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.040253064548773095
2,0,0.07497960500706771
2,1,0.0
2,2,0.08747620584157899
2,3,0.1691847497595374
2,4,0.04760609841718585
2,5,0.04837393871423723
2,6,0.24212164116865614
2,7,0.0735094166735958
2,8,0.07497960500706771
2,9,0.18176873941107324
3,0,0.2725864337147718
3,1,0.008859797412181097
3,2,0.1467773104618002
3,3,0.0
3,4,0.0
3,5,0.46671126368037846
3,6,0.0
3,7,0.055504024964546296
3,8,0.0209681872088286
3,9,0.028592982557493544
