Genre,Genre,Cluster,0
0,0,0,61.25
0,0,1,38.75
1,1,0,1.25
1,1,1,98.75
2,2,0,71.25
2,2,1,28.75
3,3,0,98.75
3,3,1,1.25
4,4,0,98.75
4,4,1,1.25
5,5,0,16.455696202531644
5,5,1,83.54430379746836
6,6,0,100.0
7,7,0,90.0
7,7,1,10.0
8,8,0,96.25
8,8,1,3.75
9,9,0,93.75
9,9,1,6.25
